cock_id,cock_name,alcohol,alcohol_grade,main_matarial,sub_matarial,base,taste_cola,taste_choco,taste_fruit,taste_coffee
1,섹스온더비치 (Sex On the Beach),12,2,보드카 : 복숭아리큐르 = 45ml : 20ml,크랜베리주스 : 자몽주스 : 라임주스 = 60ml : 30ml : 15ml,보드카,0,0,1,0
2,오르가즘 (Orgazm),11,2,아마레토 : 베일리스 : 깔루아 = 30ml : 30ml : 30ml,NA,리큐어,0,0,0,1
3,고진감래주 (Gojinkamrae),8,1,소주 : 맥주 = 45ml : fill,콜라 = 45ml,리큐어,1,0,0,0
4,블랙러시안 (Black Russian),17,2,보드카 : 커피리큐르 = 45ml : 22ml,NA,보드카,0,0,0,1
5,하이볼 (Highball),13,2,화이트럼 : 다크럼 : 화이트큐라소 = 30ml : 20ml : 15ml,오렌지주스 : 파인애플주스 : 그레나딘시럽 : 레몬주스 = 100ml : 100ml : 10ml : 10ml,럼,0,0,1,0
6,"깔루아밀크 (섬브레로, Kahlua Milk)",14,2,깔루아 = 30ml,우유 = 60ml,리큐어,0,0,0,1
7,모히토 (Mojito),15,2,럼 = 30ml,민트 : 설탕 : 생라임 : 소다수 = 12ea : 1tbsp : 1/2ea : 60ml,럼,0,0,1,0
8,진토닉 (Gin Tonic),6,1,진 = 45ml,토닉 = fill,진,0,0,1,0
9,마티니 (Martini),12,2,진 : 드라이베르뭇 = 45ml : 15ml,NA,진,0,0,0,0
10,잭콕 (Jack Coke),17,2,잭다니엘 = 60ml,콜라 = fill,리큐어,1,0,0,0
11,"피나콜라다 (피냐콜라다, Pina Colada)",7,1,화이트럼 = 40ml,피나콜라다믹스 : 파인애플주스 = 40ml : 150ml,럼,0,0,1,0
12,블루문 (Blue Moon),16,2,진 : 블루큐라소 = 37ml : 15ml,스위트앤사워믹스 : 파인애플주스 = 45ml : 90ml,진,0,0,1,0
13,롱아일랜드아이스티 (Long Island Ice Tea),23,3,보드카 : 럼 : 진 : 화이트큐라소 = 15ml : 15ml : 15ml : 15ml,스위트앤사워믹스 : 콜라 = 30ml : fill,보드카,0,0,1,0
14,마가리타 (Margarita),20,2,데킬라 : 화이트큐라소 = 30ml : 15ml,라임주스 = 7ml,데킬라,0,0,1,0
15,아메리카노 (Americano),4,1,캄파리 : 스위트베르뭇 = 40ml : 30ml,소다워터 = 30ml,리큐어,0,0,0,1
16,에거봄 (Jager Bomb),15,2,예거마이스터 = 30ml,에너지드링크 = fill,리큐어,0,0,0,0
17,더치커피 (Dutch Coffee),5,1,제네버진 = 30ml,핫블랙커피 : 휘핑크림 : 설탕 = 150ml : 45ml : 1tsp,진,0,0,0,1
18,힐링 (Healing),23,3,감홍로 : 베네딕틴 : 카시스리큐르 = 45ml : 10ml : 10ml,스위트앤사워믹스 = 30ml,리큐어,0,0,0,0
19,준버그 (June Bug),22,3,미도리 : 코코넛럼 : 바나나리큐르 = 30ml : 25ml : 25ml,레몬주스 : 파인애플주스 = 10ml : 30ml,럼,0,0,1,0
20,피치크러쉬 (Peach Crush),5,1,피치리큐르 = 40ml,크랜베리주스 : 레몬주스 : 심플시럽 = 150ml : 15ml : 15ml,리큐어,0,0,1,0
21,아이리시커피 (Irish Coffee),28,3,아이리쉬위스키 : 아이리쉬크림 = 45ml : 45ml,아메리카노 = 60ml,위스키,0,0,0,1
22,"코스모폴리탄 (코즈모폴리턴, Cosmopolitan)",20,2,보드카 : 코인트루 = 45ml : 30ml,크랜베리주스 : 라임주스 = 20ml : 20ml,보드카,0,0,1,0
23,스크루드라이버 (ScrewDriver),12,2,보드카 = 60ml,오렌지주스 = 90ml,보드카,0,0,1,0
24,좀비 (Zombie),19,2,화이트럼 : 다크럼 : 애프리콧브랜디 : 151럼 = 60ml : 30ml : 10ml : 1tsp,라임주스 : 설탕파우더 : 오렌지주스 : 파인애플 = 20ml : 2tsp : 30ml : 30ml,럼,0,0,1,0
25,블루하와이 (Blue Hawaii),28,3,보드카 : 블루큐라소 = 30ml : 30ml,스위트앤사워믹스 : 파인애플주스 = 30ml : 60ml,보드카,0,0,1,0
26,싱가포르슬링 (Singapore Sling),21,3,진 : 체리브랜디 : 베네딕틴 : 코인트루 = 45ml : 30ml : 15ml : 10ml,파인애플주스 : 라임주스 : 그레나딘시럽 = 60ml : 15ml : 15ml,진,0,0,1,0
27,"글루바인 (뱅쇼, Gluhwein)",0,0,레드와인 = 1btl,물 : 오렌지 : 흰설탕 : 정향 : 계피스틱 = 4cup : 1ea : 4ea : 10ea : 1ea,와인,0,0,1,0
