"","cock_id","cockname","alcohol","base","taste","contents"
"1",1,"가미카제 [   Kami Kaze ]","약 27˚","보드카","약간 쓴맛","가미카제는<U+00A0>제2차 세계대전 중에 자살공격으로 유명한 일본 공군을 가리키는 말이다. 이런 이름이 붙은 이유는 칵테일의 쏘는 듯한 맛 때문에 붙혀졌다.<U+00A0>흥미롭게도 카미카제라는 칵테일이 처음 만들어진 곳이 일본이 아니라 미국이다. 기호에 따라 화이트 퀴라소 대신에 코앙트로(Cointreau) 또는 트리플섹을 사용해도 된다. 셰이커에 보드카 1½, 화이트 퀴라소 ½온스, 라임 주스 ½온스와 얼음을 넣고 흔든 다음 칵테일 글라스에 따른다. 올드 패션드 글라스를 사용하는 경우도 있다. 단숨에 마시는 사람들부터 보드카의 맛을 서서히 음미하며 조금씩 마시는 사람까지 다양하게 즐기는 칵테일이다."
"2",2,"갓파더 [   Godfather ]","약 34˚","위스키","고소한 아몬드 향이 남","'갓파더(Godfather)' 칵테일은 갓마더(Godmother)라는 이름의 칵테일과 한쌍을 이룬다. 아몬드 향이 풍부한 이탈리아산 리큐어인 아마렛토(Amaretto)를 블랜딩하여 만들어지는 칵테일이며 주로 저녁 식사 후에 많이 애용한다. 스카치 위스키를 베이스로 사용하는데, 위스키 대신에 브랜디를 넣으면 프렌치 코넥션이라는 칵테일이 된다. 또한 위스키 대신 보드카를 넣으면 갓마더(Godmother) 칵테일이 된다. 올드 패션드 글라스에 스카치 위스키 1½온스와 아마렛토 ½온스를 첨가한 후 얼음을 넣어 만든다. 갓파더는 가톨릭에서 영세 받을 사람의 남자 후견인(대부 代父)을 말한다."
"3",3,"골든 드림 [   Golden Dream ]","약 16˚","리큐어","단맛","'골든 드림'은 꿈을 형상화한 칵테일이다. 칵테일은 생크림을 사용하여 금빛보다는 오히려 흰색에 가깝다. 맛이 부드럽기 때문에 식후에 디저트로 마시기 좋으며 드림이라는 이름을 사용하였듯이 잠자기 전에 마시기에도 좋다. 갈리아노가 아름다운 색배합을 만들어 내고 바닐라와 오렌지가 조화를 이룬다. 셰이커에 얼음과 갈리아노 1온스, 화이트 퀴라소 ½온스, 오렌지 주스 ½온스, 생크림 ½온스를 넣는다. 이 때 생크림이 들어가기 때문에 잘 흔들어 주어야 하며 적당한 거품으로 시각적인 효과도 좋다."
"4",4,"골든 캐딜락 [   Golden Cadillac ]","약 16˚","리큐어","달콤한 맛","캐딜락은 미국을 대표하는 최고급 자동차의 이름으로 '아메리칸 드림(American Dream)'의 상징이기도 하다. '골든 캐딜락'은 그 이름에 맞게 품위 있고 화려한 칵테일이다. 골든이라는 말이 '이 칵테일을 마시고 대부호가 된 것 같은 기분을 맛보라'고 하는 것 같다. '갈리아노'는 밀라노산 오렌지와 제비꽃의 향기를 담고있는 달콤한 맛의 리큐어로 칵테일의 맛을 한층 고급스럽게 한다. 부드럽고 달콤한 맛이 식후주로 적당하다. 셰이커에 얼음과 갈리아노 1온스, 크렘 드 카카오(화이트) 1온스, 생크림 1온스를 넣고 잘 흔든 다음 칵테일 글라스에 따른다. 이 때 생크림을 사용하기 때문에 충분히 흔들어 주어야 한다. 명차의 이름을 가진 칵테일에는 '롤스 로이스(Rolls Royce)'도 있는데 이것은 진과 베르무트로 만든다."
"5",5,"그래스호퍼 [   Grasshopper ]","약 14˚","리큐어","달콤한 맛","그래스호퍼란 '메뚜기' 혹은 '여치'를 말한다. 완성된 색이 연한 초록빛을 띠기 때문에 그 색으로부터 유래된 이름이다. 크렘 드 망트의 상큼한 향기와 크렘 드 카카오(화이트)의 달콤한 맛에 생크림을 가미하여 만드는 이 칵테일은 디저트 대용으로 즐겨도 좋다. 여성들이 특히 좋아하는 칵테일인데, 크렘 드 망트(그린)의 양을 늘리거나 브랜디를 조금 가미하면 남성들의 식후주로도 충분히 즐길 수 있다. 셰이커에 얼음과 크렘 드 카카오(화이트) 1온스, 크렘 드 망트(그린) 1온스, 생크림 1온스를 넣고 잘 흔든 다음 샴페인 글라스 또는 칵테일 글라스에 따른다."
"6",6,"그린 아이즈 [   Green Eyes ]","약 11˚","럼","조금 달콤한 맛","1983년 전미 칵테일 경연대회에서 서부지역 1위(롱 드링크 부분)에 올라 이듬해 제23회 올림픽경기대회 공식 드링크로 지정된 칵테일이다. 레스토랑 '르 프르미엘'의 알버트 레페티씨가 고안했다. 럼과 멜론 리큐어의 조화가 뛰어난 프로즌(Frozen) 스타일이다. 블렌더에 얼음과 골든 럼 1온스, 미도리(멜론 리큐어) 1온스, 파인애플 주스 1½온스, 코코넛 밀크 ½온스, 라임 주스 ½온스를 넣고 간 다음 트로피컬 글라스 또는 그랑드 글라스에 따르고 슬라이스 라임으로 장식한다.- 프로즌 스타일 : 크러시드 아이스와 재료를 블렌더에 넣고 갈아서 빙과 상태로 만드는 스타일. 슬러시와 비슷한 느낌의 칵테일."
"7",7,"기브슨 [   Gibson ]","약 36˚","진","쓴맛","미국 뉴욕의 플레이스 클럽에서 1890년대의 유명한 화가 찰스 다나 기브슨이 즐겨 마시면서 이름이 붙었다. 마티니와 같은 재료를 사용하지만<U+00A0>기브슨은 글라스를 차게 하여 표면에 성에가 생기도록 하며 진주를 연상케 하는 아름다운 광택의<U+00A0>칵테일 어니언이 첨가되기<U+00A0>때문에 우아한 분위기를 느낄 수 있는<U+00A0>칵테일이다. 베이스를 보드카로 대신 사용하면 '보드카 기브슨(Vodka Gibson)'이 된다. 믹싱 글라스에 드라이 진 1½온스, 드라이 베르무트 ½온스와 얼음을 넣고 잘 저어준 후 차게 만든 칵테일 글라스에 칵테일 어니언 장식으로 마무리 한다."
"8",8,"김렛 [   Gimlet ]","약 30˚","진","쓴맛","김렛(Gimlet)이란 목공 도구의 하나로 와인 병따개와 비슷한 모양을 한 나사 송곳이다. 칵테일의 이름도 송곳 같이 날카롭게 찌르는 맛 때문에 붙여졌다.<U+00A0>라임 주스의<U+00A0>쓴맛이 나는 것을 좋아하는 사람들에게 애음되고 있는데, 처음 만들어졌을 때는 코디얼 라임 주스를 사용해 단맛이 많이 났었다. 드라이 진 대신 보드카를 넣으면 '보드카 김렛(Vodka Gimlet)'이 되며, 얼음을 넣어<U+00A0>글라스를 온 더 락스(On The Rocks)로 마시면 '진 라임(Gin & Lime)', 진 라임에 탄산을 부어 저으면 '진 리키(Gin Rikey)'가 된다. 드라이 진 1½온스, 라임 주스 ½온스와 설탕시럽 1티스푼을 얼음과 셰이커에 넣고 흔든 후 칵테일 글라스에 따른다."
"9",9,"네그로니 [   Negroni ]","약 25˚","진","쌉쌀한 맛","네그로니라는 것은 이탈리아의 카미로 네그로니 백작을 이르는 말이다. 네그로니 백작이 즐겨 마셨던 식전주라고 알려져 있다. 피렌체에 있는 유명한 레스토랑 카소니의 바텐더가 1962년 백작의 허락으로 '네그로니'라고 발표했다. 캄파리의 쌉쌀한 맛이 특징이다. 얼음을 넣은 올드 패션드 글라스에 드라이 진 ⅔온스, 캄파리 ⅔온스, 스위트 베르무트 ⅔온스를 따르고 바스푼으로 가볍게 젓는다. 레몬필 또는 오렌지 슬라이스로 글라스 가장자리를 장식한다."
"10",10,"뉴욕 [   New york ]","약 28˚","위스키","약간 쓴맛","미국의 대도시 뉴욕의 이름을 그대로 붙인 칵테일이다. 뉴욕에 해가 떠오르는 모습을 연상하게 하는 화려한 색채와 자극적이지 않은 맛으로 전 세계인들로부터 사랑을 받고 있다. 베이스가 되는 위스키는 미국에서 생산된 아메리칸 또는 버번을 사용한다.<U+00A0>가장 나중에는 오렌지를 짜 넣어 상큼함을 더한다.<U+00A0>아메리칸 위스키 1½온스, 라임 주스 또는 레몬 주스 ½온스, 그레나딘 시럽 1티스푼, 설탕 1티스푼과 얼음을 셰이커에 넣고 흔든 다음 글라스에 따른다. 오렌지 슬라이스 또는 레몬필로 장식한다."
