"","daum_cock$X1","분류","알콜 도수","제조법","글라스","주재료","부재료","장식"
"1","섹스온더비치 (Sex On the Beach)","롱드링크, 식후칵테일","12도","쉐이킹","하이볼","보드카 : 복숭아리큐르 = 45ml : 20ml","크랜베리주스 : 자몽주스 : 라임주스 = 60ml : 30ml : 15ml","파인애플, 오렌지슬라이스"
"2","오르가즘 (Orgazm)",NA,"11도","쉐이킹","온더락","아마레토 : 베일리스 : 깔루아 = 30ml : 30ml : 30ml",NA,NA
"3","고진감래주 (Gojinkamrae)","롱드링크","8도","빌딩","하이볼","소주 : 맥주 = 45ml : fill","콜라 = 45ml",NA
"4","블랙러시안 (Black Russian)",NA,"17도","빌딩","온더락","보드카 : 커피리큐르 = 45ml : 22ml",NA,NA
"5","하이볼 (Highball)",NA,"13도","쉐이킹","칵테일","화이트럼 : 다크럼 : 화이트큐라소 = 30ml : 20ml : 15ml","오렌지주스 : 파인애플주스 : 그레나딘시럽 : 레몬주스 = 100ml : 100ml : 10ml : 10ml",NA
"6","깔루아밀크 (섬브레로, Kahlua Milk)",NA,"14도","빌딩","온더락","깔루아 = 30ml","우유 = 60ml",NA
"7","모히토 (Mojito)","롱드링크","15도","빌딩","하이볼","럼 = 30ml","민트 : 설탕 : 생라임 : 소다수 = 12ea : 1tbsp : 1/2ea : 60ml","민트잎"
"8","진토닉 (Gin Tonic)","롱드링크, 식후칵테일","6도","빌딩","하이볼","진 = 45ml","토닉 = fill","라임웨지"
"9","마티니 (Martini)","식후칵테일","12도","스터링","칵테일","진 : 드라이베르뭇 = 45ml : 15ml",NA,"올리브"
"10","잭콕 (Jack Coke)","롱드링크","17도","빌딩","하이볼","잭다니엘 = 60ml","콜라 = fill","라임슬라이스"
"11","피나콜라다 (피냐콜라다, Pina Colada)","식후칵테일","7도","쉐이킹","고블렛","화이트럼 = 40ml","피나콜라다믹스 : 파인애플주스 = 40ml : 150ml",NA
"12","블루문 (Blue Moon)","롱드링크","16도","쉐이킹","하이볼","진 : 블루큐라소 = 37ml : 15ml","스위트앤사워믹스 : 파인애플주스 = 45ml : 90ml","레몬휠"
"13","롱아일랜드아이스티 (Long Island Ice Tea)","롱드링크","23도","빌딩","하이볼","보드카 : 럼 : 진 : 화이트큐라소 = 15ml : 15ml : 15ml : 15ml","스위트앤사워믹스 : 콜라 = 30ml : fill","레몬슬라이스"
"14","마가리타 (Margarita)",NA,"20도","쉐이킹","칵테일","데킬라 : 화이트큐라소 = 30ml : 15ml","라임주스 = 7ml","소금"
"15","아메리카노 (Americano)",NA,"4도","스터링","온더락","캄파리 : 스위트베르뭇 = 40ml : 30ml","소다워터 = 30ml","오렌지필"
"16","에거봄 (Jager Bomb)","쇼트드링크","15도","빌딩","샷","예거마이스터 = 30ml","에너지드링크 = fill",NA
"17","더치커피 (Dutch Coffee)","식후칵테일","5도","빌딩","아이리쉬커피","제네버진 = 30ml","핫블랙커피 : 휘핑크림 : 설탕 = 150ml : 45ml : 1tsp","넛맥"
"18","힐링 (Healing)",NA,"23도","쉐이킹","칵테일","감홍로 : 베네딕틴 : 카시스리큐르 = 45ml : 10ml : 10ml","스위트앤사워믹스 = 30ml","레몬필"
"19","준버그 (June Bug)","롱드링크","22도","블렌딩","하이볼","미도리 : 코코넛럼 : 바나나리큐르 = 30ml : 25ml : 25ml","레몬주스 : 파인애플주스 = 10ml : 30ml","파인애플슬라이스"
"20","피치크러쉬 (Peach Crush)","롱드링크, 식후칵테일","5도","쉐이킹","하이볼","피치리큐르 = 40ml","크랜베리주스 : 레몬주스 : 심플시럽 = 150ml : 15ml : 15ml",NA
"21","아이리시커피 (Irish Coffee)",NA,"28도","빌딩","아이리쉬커피","아이리쉬위스키 : 아이리쉬크림 = 45ml : 45ml","아메리카노 = 60ml","시나몬스틱"
"22","코스모폴리탄 (코즈모폴리턴, Cosmopolitan)",NA,"20도","쉐이킹","칵테일","보드카 : 코인트루 = 45ml : 30ml","크랜베리주스 : 라임주스 = 20ml : 20ml","라임"
"23","스크루드라이버 (ScrewDriver)","롱드링크","12도","빌딩","하이볼","보드카 = 60ml","오렌지주스 = 90ml",NA
