"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"서초구청 별관 1층 여권민원실",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 별관 2층 부동산정보과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 별관 3층 안전도시과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 지하1층 매점",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 1층 OK 센터",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 1층 주차장 차량지원실",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 1층 북카페",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 1층 25시 센터",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 2층 대강당",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
"서초구청 2층 주차관리과",서울특별시,서울특별시,관공서,관공서,서초구,Public WiFi@Seocho,2017-06,,서울특별시 서초구 서초동 1376-3,서초구청,02-2155-6426,37.483569,127.032598,2018-08-03
